StockCode,Description,TotalQuaantity,AvgQuantity,TotalRevenue,AvgRevenue,OrderCount
22937,BAKING MOULD CHOCOLATE CUPCAKES,941,6.67,2425.19,17.2,136
22938,CUPCAKE LACE PAPER SET 6,2321,13.49,4355.33,25.32,170
22939,APRON APPLE DELIGHT,448,4.31,2188.48,21.04,102
22940,FELTCRAFT CHRISTMAS FAIRY,1560,4.97,6462.68,20.58,301
22941,CHRISTMAS LIGHTS 10 REINDEER,1188,4.68,9654.0,38.01,252
22942,CHRISTMAS LIGHTS 10 SANTAS ,581,4.4,4108.75,31.13,131
22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,1280,7.95,5968.98,37.07,159
22944,CHRISTMAS METAL POSTCARD WITH BELLS,2704,45.07,1125.94,18.77,57
22945,CHRISTMAS METAL TAGS ASSORTED ,2863,20.45,2401.03,17.15,136
22946,WOODEN ADVENT CALENDAR CREAM,370,4.07,5340.0,58.68,89
22947,WOODEN ADVENT CALENDAR RED,536,5.15,5047.6,48.53,104
22948,METAL DECORATION NAUGHTY CHILDREN ,1456,13.74,1286.56,12.14,98
22949,36 DOILIES DOLLY GIRL,947,10.89,1373.15,15.78,86
22950,36 DOILIES VINTAGE CHRISTMAS,5180,31.02,7045.4,42.19,166
22951,60 CAKE CASES DOLLY GIRL DESIGN,7247,19.64,3755.41,10.18,354
22952,60 CAKE CASES VINTAGE CHRISTMAS,14759,29.76,7431.05,14.98,467
22953,BIRTHDAY PARTY CORDON BARRIER TAPE,460,5.54,578.63,6.97,82
22954,HEN PARTY CORDON BARRIER TAPE,165,5.69,206.25,7.11,28
22955,36 FOIL STAR CAKE CASES ,1005,9.05,1929.14,17.38,106
22956,36 FOIL HEART CAKE CASES,2003,11.25,3823.56,21.48,170
22957,SET 3 PAPER VINTAGE CHICK PAPER EGG,1749,8.7,4881.15,24.28,196
22959,WRAP CHRISTMAS VILLAGE,4876,34.83,2003.92,14.31,140
22960,JAM MAKING SET WITH JARS,7921,8.94,31604.97,35.67,877
22961,JAM MAKING SET PRINTED,15055,17.21,21170.75,24.2,868
22962,JAM JAR WITH PINK LID,3681,14.9,2952.57,11.95,246
22963,JAM JAR WITH GREEN LID,3071,14.55,2452.01,11.62,210
22964,3 PIECE SPACEBOY COOKIE CUTTER SET,2514,8.32,5034.64,16.67,296
22965,3 TRADITIONAL COOKIE CUTTERS  SET,1318,6.31,2726.42,13.05,206
22966,GINGERBREAD MAN COOKIE CUTTER,7204,12.59,8625.13,15.08,554
22967,SET 3 SONG BIRD PAPER EGGS ASSORTED,1161,8.8,3230.55,24.47,131
22968,ROSE COTTAGE KEEPSAKE BOX ,729,5.03,6574.95,45.34,144
22969,HOMEMADE JAM SCENTED CANDLES,9968,19.28,13910.8,26.91,516
22970,LONDON BUS COFFEE MUG,3784,13.37,8696.1,30.73,275
22971,QUEENS GUARD COFFEE MUG,2365,10.06,5603.57,23.84,233
22972,CHILDREN'S SPACEBOY MUG,1715,9.32,2790.71,15.17,180
22973,CHILDREN'S CIRCUS PARADE MUG,1192,10.64,1924.48,17.18,110
22974,CHILDRENS DOLLY GIRL MUG,1523,9.4,2457.99,15.17,157
22975,SPACEBOY CHILDRENS EGG CUP,1118,7.76,1405.97,9.76,142
22976,CIRCUS PARADE CHILDRENS EGG CUP ,1047,9.03,1313.59,11.32,112
22977,DOLLY GIRL CHILDRENS EGG CUP,905,8.01,1132.46,10.02,111
22978,PANTRY ROLLING PIN,1699,8.62,6224.84,31.6,196
22979,PANTRY WASHING UP BRUSH,3254,10.43,4663.66,14.95,303
22980,PANTRY SCRUBBING BRUSH,2289,9.27,3661.89,14.83,242
22981,PANTRY APPLE CORER,436,5.74,603.4,7.94,72
22982,PANTRY PASTRY BRUSH,1045,7.11,1308.3,8.9,146
22983,CARD BILLBOARD FONT,5038,15.13,2072.79,6.22,332
22984,CARD GINGHAM ROSE ,2678,18.86,1073.74,7.56,140
22985,"WRAP, BILLBOARD FONTS DESIGN",3750,39.06,1487.0,15.49,96
22986,GINGHAM ROSE WRAP,4101,26.63,1710.42,11.11,154
22987,WRAP SUMMER ROSE DESIGN,100,25.0,42.0,10.5,4
22988,SOLDIERS EGG CUP ,8821,26.1,10150.22,30.03,327
22989,SET 2 PANTRY DESIGN TEA TOWELS,2337,7.37,7142.37,22.53,310
22990,COTTON APRON PANTRY DESIGN,607,4.22,2695.29,18.72,140
22991,GIRAFFE WOODEN RULER,3710,15.39,6820.74,28.3,234
22992,REVOLVER WOODEN RULER ,4917,16.61,8950.29,30.24,285
22993,SET OF 4 PANTRY JELLY MOULDS,11792,13.2,14180.17,15.88,866
22994,TRAVEL CARD WALLET RETROSPOT,2107,12.93,883.5,5.42,160
22995,TRAVEL CARD WALLET SUKI,2236,11.96,936.24,5.01,183
22996,TRAVEL CARD WALLET VINTAGE TICKET,4552,15.12,1880.16,6.25,292
22997,TRAVEL CARD WALLET UNION JACK,2527,13.59,1059.9,5.7,181
22998,TRAVEL CARD WALLET KEEP CALM,11769,26.27,4693.4,10.48,437
22999,TRAVEL CARD WALLET RETRO PETALS,2875,14.9,1206.06,6.25,185
23000,TRAVEL CARD WALLET TRANSPORT,3044,14.63,1275.6,6.13,205
23002,TRAVEL CARD WALLET SKULLS,2078,14.33,871.32,6.01,140
23003,TRAVEL CARD WALLET VINTAGE ROSE ,541,10.21,225.78,4.26,52
23004,TRAVEL CARD WALLET PANTRY,1862,14.43,783.68,6.08,123
23005,TRAVEL CARD WALLET I LOVE LONDON,4396,24.15,1788.72,9.83,175
23006,TRAVEL CARD WALLET FLOWER MEADOW,1699,12.97,712.14,5.44,130
23007, SPACEBOY BABY GIFT SET,450,3.15,7065.5,49.41,142
23008,DOLLY GIRL BABY GIFT SET,421,3.45,6567.95,53.84,120
23009,I LOVE LONDON BABY GIFT SET,209,3.43,3262.55,53.48,61
23010,CIRCUS PARADE BABY GIFT SET,285,3.2,4444.75,49.94,89
23012,GLASS APOTHECARY BOTTLE PERFUME,1017,5.01,3775.49,18.6,198
23013,GLASS APOTHECARY BOTTLE TONIC,866,4.76,3215.04,17.67,180
23014,GLASS APOTHECARY BOTTLE ELIXIR,800,4.88,2959.68,18.05,160
23015,CORDIAL GLASS JUG,37,2.18,305.25,17.96,15
23016,GLASS TWIST BON BON JAR,69,3.63,512.85,26.99,19
23017,APOTHECARY MEASURING JAR,64,3.05,751.4,35.78,21
23018,LARGE APOTHECARY MEASURING JAR ,50,2.5,587.2,29.36,20
23019,SMALL APOTHECARY MEASURING JAR ,81,2.89,629.05,22.47,28
23020,GLASS  SONGBIRD STORAGE JAR,176,2.44,2092.0,29.06,72
23021,GLASS BONNE JAM JAR,118,4.54,480.1,18.47,25
23022,SMALL BONNE JAM JAR  T-LIGHT HOLDER,416,18.09,795.68,34.59,21
23023,RIDGED BONNE JAM JAR T-LIGHT HOLDER,272,10.88,431.24,17.25,23
23024,LARGE BONNE JAM JAR  T-LIGHT HOLDER,254,25.4,662.06,66.21,10
23025,DRAWER KNOB VINTAGE GLASS BALL,317,6.89,669.61,14.56,46
23026,DRAWER KNOB VINTAGE GLASS STAR,504,9.0,1019.05,18.2,53
23027,DRAWER KNOB VINTAGE GLASS HEXAGON,287,10.63,596.96,22.11,27
23028,DRAWER KNOB CRACKLE GLAZE BLUE,1247,10.75,2000.19,17.24,114
23029,DRAWER KNOB CRACKLE GLAZE GREEN,1284,9.3,2080.2,15.07,138
23031,DRAWER KNOB CRACKLE GLAZE PINK,1246,8.9,2017.5,14.41,138
23032,DRAWER KNOB CRACKLE GLAZE IVORY,2264,11.92,3630.0,19.11,182
23033,DRAWER KNOB CERAMIC RED,685,11.42,952.45,15.87,59
23034,DRAWER KNOB CERAMIC BLACK,947,11.55,1332.35,16.25,78
23035,DRAWER KNOB CERAMIC IVORY,2089,12.29,2941.69,17.3,166
23036,T-LIGHT HOLDER SILVER PETIT FOUR ,183,11.44,228.75,14.3,15
23037,CANDLE HOLDER SILVER MADELINE,193,10.72,315.29,17.52,18
23038,T-LIGHT HOLDER SILVER SAUCER,41,6.83,38.03,6.34,6
23039,T-LIGHT HOLDER SILVER HEART HANDLE,192,8.35,370.8,16.12,22
23040,PAPER LANTERN 9 POINT SNOW STAR ,246,6.47,1318.5,34.7,36
23041,PAPER LANTERN 9 POINT SNOW STAR,260,5.42,1079.0,22.48,48
23042,PAPER LANTERN 7 POINT SNOW STAR,99,3.96,658.35,26.33,25
23043,PAPER LANTERN 9 POINT HOLLY STAR 40,75,3.95,468.75,24.67,19
23044,PAPER LANTERN 9 POINT HOLLY STAR S,103,3.81,427.45,15.83,24
23045,PAPER LANTERN 5 POINT STAR MOON 30,116,5.04,481.4,20.93,23
23046,PAPER LANTERN 9 POINT DELUXE STAR,107,3.24,711.55,21.56,33
23047,PAPER LANTERN 5 POINT SEQUIN STAR,58,2.23,333.5,12.83,25
23048,SET OF 10 LANTERNS FAIRY LIGHT STAR,564,6.13,2264.74,24.62,85
23049,RECYCLED ACAPULCO MAT RED,435,2.57,3572.75,21.14,169
23050,RECYCLED ACAPULCO MAT GREEN,459,2.61,3763.55,21.38,176
23051,RECYCLED ACAPULCO MAT BLUE,335,2.52,2741.35,20.61,133
23052,RECYCLED ACAPULCO MAT TURQUOISE,571,2.58,4694.75,21.24,221
23053,RECYCLED ACAPULCO MAT PINK,319,2.45,2598.15,19.99,129
23054,RECYCLED ACAPULCO MAT LAVENDER,268,2.44,2206.2,20.06,109
23055,IVORY CHANDELIER T-LIGHT HOLDER,561,14.38,1292.97,33.15,36
23056,FLOWERS CHANDELIER T-LIGHT HOLDER,629,15.72,1514.81,37.87,36
23057,GEMSTONE CHANDELIER T-LIGHT HOLDER,677,15.39,1660.99,37.75,41
23058,CHRISTMAS HANGING SNOWFLAKE,486,11.05,421.02,9.57,44
23060,HEART BEADED TRELLIS DECORATION,244,5.95,507.52,12.38,39
23061,VINTAGE EMBOSSED HEART,964,10.59,1199.96,13.19,88
23064,CINDERELLA CHANDELIER ,120,5.71,2617.6,124.65,21
23065,LARGE DECO JEWELLERY STAND,257,2.76,3115.3,33.5,92
23066,SMALL DECO JEWELLERY STAND,245,3.22,1963.65,25.84,76
23067,HANGING ENGRAVED METAL HEART,277,3.55,1149.55,14.74,71
23068,ALUMINIUM STAMPED HEART,805,6.05,1937.21,14.57,130
23069,EDWARDIAN PHOTO FRAME,89,2.78,556.25,17.38,31
23070,EDWARDIAN HEART PHOTO FRAME,147,4.45,610.05,18.49,33
23071,MARIE ANTOIENETT TRINKET BOX GOLD,317,14.41,1230.1,55.91,17
23072,MARIE ANTOINETTE TRINKET BOX SILVER,326,14.82,1099.0,49.95,22
23073,GEORGIAN TRINKET BOX,142,2.37,1694.0,28.23,59
23074,EMBOSSED HEART TRINKET BOX,225,6.25,452.34,12.57,35
23075,DOUBLE CERAMIC PARLOUR HOOK,470,5.88,1931.3,24.14,77
23076,ICE CREAM SUNDAE LIP GLOSS,7920,31.81,9668.16,38.83,248
23077,DOUGHNUT LIP GLOSS ,9662,31.27,11640.7,37.67,308
23078,ICE CREAM PEN LIP GLOSS ,6607,31.02,8077.31,37.92,213
23079,TOADSTOOL BEDSIDE LIGHT ,250,2.34,2216.5,20.71,104
23080,RED METAL BOX TOP SECRET,1003,4.4,7962.03,34.92,221
23081,GREEN METAL BOX ARMY SUPPLIES,454,3.91,3614.64,31.16,115
23082,SET 6 PAPER TABLE LANTERN HEARTS ,2265,8.3,8129.43,29.78,263
23083,SET 6 PAPER TABLE LANTERN STARS ,1860,8.73,6739.63,31.64,209
23084,RABBIT NIGHT LIGHT,18010,21.57,34057.32,40.79,794
23085,ANTIQUE SILVER BAUBLE LAMP  ,374,4.62,3489.7,43.08,72
23086,ZINC  STAR T-LIGHT HOLDER ,1194,32.27,1371.54,37.07,36
23087,ZINC  HEART T-LIGHT HOLDER,830,16.94,997.18,20.35,49
23088,ZINC HEART FLOWER T-LIGHT HOLDER,760,13.33,947.18,16.62,57
23089,GLASS BON BON JAR,2136,15.48,3497.22,25.34,134
23090,VINTAGE GLASS T-LIGHT HOLDER,2130,16.9,1723.62,13.68,122
23091,ZINC HERB GARDEN CONTAINER,570,2.85,3488.25,17.44,192
23092,LARGE ANTIQUE WHITE PHOTO FRAME,509,4.04,3584.06,28.44,125
23093,SMALL PARISIENNE HEART PHOTO FRAME ,916,7.39,2125.16,17.14,123
23094,LE GRAND TRAY CHIC SET,147,1.99,1837.5,24.83,74
23096,PETIT TRAY CHIC,1007,8.46,1629.83,13.7,117
23099,FRENCH CARRIAGE LANTERN,132,2.4,858.9,15.62,54
23100,SILVER BELLS TABLE DECORATION,2093,9.43,2565.85,11.56,213
23101,SILVER STARS TABLE DECORATION,1948,9.94,1574.6,8.03,190
23102,SILVER HEARTS TABLE DECORATION,1245,8.65,1006.95,6.99,139
23103,BELL HEART DECORATION,3939,11.79,6456.15,19.33,316
23104,IVORY PANTRY HANGING LAMP ,116,2.64,1355.5,30.81,44
23106,ZINC HEARTS PLANT POT HOLDER,283,5.66,769.27,15.39,50
23107,WHITE WIRE PLANT POT HOLDER,340,5.57,919.8,15.08,61
23108,SET OF 10 LED DOLLY LIGHTS,1778,5.04,10281.23,29.13,350
23109,LED TEA LIGHTS,2325,9.81,6528.25,27.55,228
23110,PARISIENNE KEY CABINET ,664,3.0,3685.2,16.68,219
23111,PARISIENNE SEWING BOX,296,2.37,3464.8,27.72,124
23112,PARISIENNE CURIO CABINET,472,2.57,3444.8,18.72,183
23113,PANTRY CHOPPING BOARD,196,4.78,912.6,22.26,41
23114,VINTAGE LEAF CHOPPING BOARD  ,144,3.51,684.0,16.68,41
23115,RED APPLES CHOPPING BOARD   ,147,3.68,698.85,17.47,38
23116,VEGETABLE GARDEN CHOPPING BOARD,72,4.0,327.6,18.2,17
23117,POPPY FIELDS CHOPPING BOARD,85,2.18,420.75,10.79,39
23118,PARISIENNE JEWELLERY DRAWER ,765,3.4,5399.02,24.0,225
23119,PACK OF 6 LARGE FRUIT STRAWS ,2156,18.43,1276.33,10.91,116
23120,PACK OF 6 SMALL FRUIT STRAWS,1648,17.91,657.6,7.15,79
23121,PACK OF 6 COCKTAIL PARASOL STRAWS,2465,25.68,960.42,10.0,87
23122,PARTY CHARMS 50 PIECES,2093,21.14,1554.31,15.7,94
23123,COCKTAIL SWORDS 50 PIECES,900,13.04,706.08,10.23,68
23124,18PC WOODEN CUTLERY SET DISPOSABLE,503,20.96,595.15,24.8,24
23125,6PC WOOD PLATE SET DISPOSABLE,405,25.31,443.25,27.7,16
23126,DOLLCRAFT GIRL AMELIE KIT,1089,3.92,5297.03,19.05,271
23127,DOLLCRAFT GIRL NICOLE,714,3.86,3511.34,18.98,182
23128,FELTCRAFT BOY JEAN-PAUL KIT,436,3.3,2109.88,15.98,129
23129,HEART SHAPED HOLLY WREATH,942,5.71,3933.18,23.84,165
23130,MISTLETOE HEART WREATH GREEN,918,5.5,3748.42,22.45,167
23131,MISTLETOE HEART WREATH CREAM,654,6.0,2640.78,24.23,107
23132,SMALL IVORY HEART WALL ORGANISER,1022,7.1,5069.58,35.21,141
23133,LARGE IVORY HEART WALL ORGANISER,759,5.66,5142.91,38.38,134
23134,LARGE ZINC HEART WALL ORGANISER,304,8.94,1945.68,57.23,34
23135,SMALL ZINC HEART WALL ORGANISER,530,13.59,2032.24,52.11,39
23136,IVORY WIRE SWEETHEART LETTER TRAY,127,2.89,467.05,10.61,44
23137,ZINC WIRE SWEETHEART LETTER TRAY,80,4.0,253.24,12.66,20
23138,SINGLE WIRE HOOK IVORY HEART,875,10.94,1209.15,15.11,75
23139,SINGLE WIRE HOOK PINK HEART,407,16.96,503.83,20.99,22
23140,TRIPLE WIRE HOOK IVORY HEART,160,4.57,658.54,18.82,35
23141,TRIPLE WIRE HOOK PINK HEART,68,3.78,215.0,11.94,18
23142,IVORY WIRE KITCHEN ORGANISER,116,3.22,1137.65,31.6,36
23143,ZINC WIRE KITCHEN ORGANISER,25,2.08,156.8,13.07,12
23144,ZINC T-LIGHT HOLDER STARS SMALL,4894,20.56,3879.98,16.3,237
23145,ZINC T-LIGHT HOLDER STAR LARGE,2054,13.6,1919.34,12.71,150
23146,TRIPLE HOOK ANTIQUE IVORY ROSE,781,3.6,2535.89,11.69,211
23147,SINGLE ANTIQUE ROSE HOOK IVORY,1845,7.24,2672.85,10.48,250
23148,MINIATURE ANTIQUE ROSE HOOK IVORY,2118,8.68,1756.5,7.2,234
23149,ANTIQUE IVORY WIRE BOWL SMALL,97,5.11,241.53,12.71,19
23150,IVORY SWEETHEART SOAP DISH,139,3.48,346.11,8.65,40
23151,ZINC SWEETHEART SOAP DISH,60,3.0,106.9,5.35,19
23152,IVORY SWEETHEART WIRE LETTER RACK ,545,3.59,2013.51,13.25,149
23153,ZINC SWEETHEART WIRE LETTER RACK,248,3.18,923.63,11.84,78
23154,SET OF 4 JAM JAR MAGNETS,2472,10.84,4986.49,21.87,214
23155,KNICKERBOCKERGLORY MAGNET ASSORTED ,2106,18.64,1679.34,14.86,111
23156,SET OF 5 MINI GROCERY MAGNETS,1638,8.58,3311.78,17.34,184
23157,SET OF 6 NATIVITY MAGNETS ,2543,16.62,5058.59,33.06,145
23158,SET OF 5 LUCKY CAT MAGNETS ,2538,13.43,5121.48,27.1,187
23159,SET OF 5 PANCAKE DAY MAGNETS,2283,11.3,4620.97,22.88,195
23160,REGENCY TEA SPOON,1404,23.02,1666.8,27.32,60
23161,REGENCY CAKE FORK,1608,23.65,1896.6,27.89,68
23162,REGENCY TEA STRAINER,1362,9.59,4789.24,33.73,142
23163,REGENCY SUGAR TONGS,1714,12.79,3949.7,29.48,134
23164,REGENCY CAKE SLICE,564,7.05,2579.21,32.24,80
23165,LARGE CERAMIC TOP STORAGE JAR,2954,13.13,4624.5,20.55,220
23166,MEDIUM CERAMIC TOP STORAGE JAR,3701,18.79,4233.13,21.49,194
23167,SMALL CERAMIC TOP STORAGE JAR ,4316,23.58,3252.68,17.77,176
23168,CLASSIC SUGAR DISPENSER,2850,12.78,3285.67,14.73,220
23169,CLASSIC GLASS SWEET JAR,1453,5.48,5837.95,22.03,262
23170,REGENCY TEA PLATE ROSES ,5855,17.85,9146.79,27.89,327
23171,REGENCY TEA PLATE GREEN ,5198,19.25,8071.3,29.89,270
23172,REGENCY TEA PLATE PINK,3688,16.46,5793.28,25.86,224
23173,REGENCY TEAPOT ROSES ,1742,4.85,15542.72,43.29,352
23174,REGENCY SUGAR BOWL GREEN,1876,7.03,7525.54,28.19,266
23175,REGENCY MILK JUG PINK ,1986,7.33,6038.0,22.28,270
23176,ABC TREASURE BOOK BOX ,2090,11.06,4377.76,23.16,186
23177,TREASURE ISLAND BOOK BOX,1941,8.86,4081.05,18.63,213
23178,JAM CLOCK MAGNET,312,5.47,845.5,14.83,55
23179,CLOCK MAGNET MUM'S KITCHEN,304,7.6,837.88,20.95,40
23180,MUM'S KITCHEN CLOCK,104,2.89,471.9,13.11,36
23181,BULL DOG BOTTLE TOP WALL CLOCK,185,2.68,1484.25,21.51,69
23182,TOILET SIGN OCCUPIED OR VACANT,3414,12.79,2837.57,10.63,254
23183,MOTHER'S KITCHEN SPOON REST ,178,3.02,690.71,11.71,58
23184,BULL DOG BOTTLE OPENER,778,3.91,3749.5,18.84,197
23185,FRENCH STYLE STORAGE JAR JAM,323,10.09,116.59,3.64,30
23186,FRENCH STYLE STORAGE JAR CAFE ,1982,27.92,819.46,11.54,70
23187,FRENCH STYLE STORAGE JAR BONBONS,2338,31.17,695.06,9.27,74
23188,VINTAGE  2 METER FOLDING RULER,3098,10.76,5103.46,17.72,282
23189,SET OF 12 FORK CANDLES,1215,10.66,3319.35,29.12,113
23190,BUNDLE OF 3 SCHOOL EXERCISE BOOKS  ,1678,9.32,2691.14,14.95,179
23191,BUNDLE OF 3 RETRO NOTE BOOKS,2176,8.47,3520.4,13.7,245
23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,3286,10.14,5225.22,16.13,312
23193,BUFFALO BILL TREASURE BOOK BOX,1855,12.97,3768.57,26.35,137
23194,GYMKHANNA TREASURE BOOK BOX,1754,9.91,3688.67,20.84,170
23196,RETRO LEAVES MAGNETIC NOTEPAD,1760,7.24,2484.8,10.23,233
23197,SKETCHBOOK MAGNETIC SHOPPING LIST,1368,7.35,1971.04,10.6,183
23198,PANTRY MAGNETIC  SHOPPING LIST,3067,7.95,4346.99,11.26,374
23199,JUMBO BAG APPLES,13887,19.13,26451.26,36.43,718
23200,JUMBO BAG PEARS,6733,14.12,13043.24,27.34,470
23201,JUMBO BAG ALPHABET,12540,16.48,24175.0,31.77,752
23202,JUMBO BAG VINTAGE LEAF,10716,13.7,20963.93,26.81,772
23203,JUMBO BAG DOILEY PATTERNS,19516,17.77,37684.38,34.32,1080
23204,CHARLOTTE BAG APPLES DESIGN,7039,16.48,5632.15,13.19,425
23205,CHARLOTTE BAG VINTAGE ALPHABET ,5152,14.76,4106.72,11.77,345
23206,LUNCH BAG APPLE DESIGN,11565,12.92,18278.25,20.42,866
23207,LUNCH BAG ALPHABET DESIGN,7554,11.26,12029.06,17.93,647
23208,LUNCH BAG VINTAGE LEAF DESIGN,6225,10.12,10006.45,16.27,597
23209,LUNCH BAG DOILEY PATTERN ,13004,12.64,20817.56,20.23,1006
23210,WHITE ROCKING HORSE HAND PAINTED,2803,16.59,3377.75,19.99,154
23211,RED ROCKING HORSE HAND PAINTED,2208,18.4,2634.0,21.95,116
23212,HEART WREATH DECORATION WITH BELL,2179,14.15,2582.63,16.77,145
23213,STAR WREATH DECORATION WITH BELL,1595,12.76,1923.19,15.39,121
23214,JINGLE BELL HEART ANTIQUE GOLD,777,7.93,1635.23,16.69,92
23215,JINGLE BELL HEART ANTIQUE SILVER,2971,14.71,5931.0,29.36,196
23216,LAUREL HEART ANTIQUE GOLD,518,12.63,613.51,14.96,40
23217,LAUREL HEART ANTIQUE SILVER,1290,15.0,1567.0,18.22,84
23218,LAUREL STAR ANTIQUE GOLD,372,11.27,465.81,14.12,33
23219,LAUREL STAR ANTIQUE SILVER ,404,7.77,504.6,9.7,49
23220,REINDEER HEART DECORATION GOLD,930,11.77,775.26,9.81,77
23221,REINDEER HEART DECORATION SILVER,1461,12.82,1241.59,10.89,110
23222,CHRISTMAS TREE HANGING GOLD,776,11.76,690.64,10.46,64
23223,CHRISTMAS TREE HANGING SILVER ,747,10.67,671.77,9.6,67
23224,CHERUB HEART DECORATION GOLD,719,12.19,620.45,10.52,59
23225,CHERUB HEART DECORATION SILVER ,1297,18.53,1090.43,15.58,69
23226,FILIGREE HEART DAISY WHITE,1199,16.65,1478.59,20.54,71
23227,FILIGREE HEART BUTTERFLY WHITE ,1592,18.3,1947.06,22.38,87
23228,FILIGREE HEART BIRD WHITE ,1397,17.68,1726.3,21.85,78
23229,VINTAGE DONKEY TAIL GAME ,1804,8.24,6336.43,28.93,219
23230,WRAP ALPHABET DESIGN,7950,34.12,3207.0,13.76,232
23231,WRAP DOILEY DESIGN,7225,28.11,2986.5,11.62,257
23232,WRAP VINTAGE PETALS  DESIGN,8626,35.5,3478.92,14.32,238
23233,WRAP POPPIES  DESIGN,5175,32.55,2105.5,13.24,158
23234,BISCUIT TIN VINTAGE CHRISTMAS,1635,6.96,4576.05,19.47,232
23235,STORAGE TIN VINTAGE LEAF,729,7.36,1902.69,19.22,96
23236,DOILEY STORAGE TIN,2459,8.31,6828.31,23.07,284
23237,SET OF 4 KNICK KNACK TINS LEAVES ,1044,6.14,4212.2,24.78,169
23238,SET OF 4 KNICK KNACK TINS LONDON ,1788,7.33,7170.6,29.39,233
23239,SET OF 4 KNICK KNACK TINS POPPIES,823,5.05,3188.05,19.56,155
23240,SET OF 4 KNICK KNACK TINS DOILEY ,3863,7.77,15532.25,31.25,484
23241,TREASURE TIN GYMKHANA DESIGN,2024,6.86,4099.52,13.9,284
23242,TREASURE TIN BUFFALO BILL ,1436,7.33,2898.56,14.79,187
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,2659,6.89,12180.31,31.56,382
23244,ROUND STORAGE TIN VINTAGE LEAF,925,8.81,1692.91,16.12,105
23245,SET OF 3 REGENCY CAKE TINS,4800,6.63,22243.28,30.72,715
23247,BISCUIT TIN 50'S CHRISTMAS,2060,7.44,5795.2,20.92,271
23249,VINTAGE RED ENAMEL TRIM PLATE,802,11.62,1294.5,18.76,68
23250,VINTAGE RED TRIM ENAMEL BOWL ,1103,12.39,1358.59,15.27,89
23251,VINTAGE RED ENAMEL TRIM MUG ,1646,15.98,1956.7,19.0,102
23252,VINTAGE RED ENAMEL TRIM JUG ,590,4.61,2168.34,16.94,125
23253,16 PIECE CUTLERY SET PANTRY DESIGN,214,4.55,3082.1,65.58,47
23254,CHILDRENS CUTLERY DOLLY GIRL ,1664,5.86,6704.0,23.61,276
23255,CHILDRENS CUTLERY CIRCUS PARADE,963,6.69,3856.59,26.78,143
23256,CHILDRENS CUTLERY SPACEBOY ,2018,6.12,8123.78,24.62,324
23263,SET OF 3 WOODEN HEART DECORATIONS,3747,8.69,4829.08,11.2,389
23264,SET OF 3 WOODEN SLEIGH DECORATIONS,1845,6.91,2400.45,8.99,249
23265,SET OF 3 WOODEN TREE DECORATIONS,1680,6.22,2172.46,8.05,246
23266,SET OF 3 WOODEN STOCKING DECORATION,1975,6.65,2543.39,8.56,274
23267,SET OF 4 SANTA PLACE SETTINGS,1158,12.32,1427.34,15.18,91
23268,SET OF 2 CERAMIC CHRISTMAS REINDEER,1435,18.16,1981.63,25.08,78
23269,SET OF 2 CERAMIC CHRISTMAS TREES,755,9.56,1075.55,13.61,76
23270,SET OF 2 CERAMIC PAINTED HEARTS ,1166,9.33,1625.9,13.01,118
23271,CHRISTMAS TABLE CANDLE SILVER SPIKE,1622,20.79,1316.82,16.88,75
23272,TREE T-LIGHT HOLDER WILLIE WINKIE,352,10.06,522.74,14.94,35
23273,HEART T-LIGHT HOLDER WILLIE WINKIE,928,9.47,1533.84,15.65,97
23274,STAR T-LIGHT HOLDER WILLIE WINKIE,1142,11.2,1875.06,18.38,98
23275,SET OF 3 HANGING OWLS OLLIE BEAK,3642,12.78,4327.42,15.18,270
23280,FOLDING BUTTERFLY MIRROR HOT PINK ,1995,14.78,1546.91,11.46,133
23281,FOLDING BUTTERFLY MIRROR RED  ,1270,13.51,976.22,10.39,91
23282,FOLDING BUTTERFLY MIRROR IVORY ,753,7.24,612.72,5.89,102
23283,DOORMAT VINTAGE LEAVES DESIGN ,967,4.63,6600.27,31.58,209
23284,DOORMAT KEEP CALM AND COME IN,3592,5.54,26523.85,40.93,641
23285,PINK VINTAGE SPOT BEAKER,2735,20.88,2285.31,17.45,131
23286,BLUE VINTAGE SPOT BEAKER,3023,18.55,2500.05,15.34,163
23287,RED VINTAGE SPOT BEAKER,1782,11.96,1452.3,9.75,146
23288,GREEN VINTAGE SPOT BEAKER,2561,19.11,2162.37,16.14,133
23289,DOLLY GIRL CHILDRENS BOWL,1553,10.94,1854.85,13.06,141
23290,SPACEBOY CHILDRENS BOWL,2367,13.6,2757.15,15.85,174
23291,DOLLY GIRL CHILDRENS CUP,1549,10.61,1881.39,12.89,144
23292,SPACE BOY CHILDRENS CUP,2082,12.54,2487.62,14.99,164
23293,SET OF 12 FAIRY CAKE BAKING CASES,8243,17.35,6469.45,13.62,465
23294,SET OF 6 SNACK LOAF BAKING CASES,4292,14.21,3360.18,11.13,291
23295,SET OF 12 MINI LOAF BAKING CASES,5963,16.12,4675.61,12.64,359
23296,SET OF 6 TEA TIME BAKING CASES,4879,15.06,5687.15,17.55,319
23297,SET 40 HEART SHAPE PETIT FOUR CASES,4260,30.0,6677.0,47.02,140
23298,SPOTTY BUNTING,7785,7.6,36173.95,35.33,1009
